,female,other_race,notchi_school,notchi_home,uni_public,acceptance_rate,music,male,caucasian,african_american,latino,asian,chi_school,chi_home,financial_aid,median_income
279,1,0,1,1,0,8.0,0,0,0,0,0,1,0,0,0.0,108159.0
280,1,0,1,1,0,,0,0,1,0,0,0,0,0,0.0,85155.0
281,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,10.0,117974.0
282,0,0,1,1,0,5.0,1,1,1,0,0,0,0,0,0.0,54211.0
283,0,0,1,1,0,68.0,1,1,0,0,0,1,0,0,5.0,87787.0
284,0,1,1,1,0,11.0,1,1,0,0,0,0,0,0,8.5,72391.0
285,1,0,1,1,0,95.7,1,0,1,0,0,0,0,0,9.5,83585.0
286,0,0,1,1,1,29.0,1,1,1,0,0,0,0,0,6.0,81650.0
287,0,1,1,1,0,11.0,1,1,0,0,0,0,0,0,0.0,85693.0
288,0,0,1,1,0,70.0,1,1,0,0,0,1,0,0,0.0,66156.0
289,0,0,1,1,0,70.0,1,1,1,0,0,0,0,0,0.0,72682.0
290,1,0,1,1,1,77.0,1,0,1,0,0,0,0,0,0.0,49711.0
291,0,0,1,1,0,46.8,1,1,1,0,0,0,0,0,0.0,97539.0
292,1,0,1,1,0,11.0,0,0,0,0,0,1,0,0,0.0,91954.0
293,0,0,0,0,0,9.0,0,1,1,0,0,0,1,1,0.0,31645.0
294,0,0,1,1,0,29.0,1,1,1,0,0,0,0,0,0.0,93282.0
295,0,0,1,1,0,13.0,1,1,1,0,0,0,0,0,0.0,83285.0
296,1,0,1,1,0,35.0,0,0,0,0,0,1,0,0,0.0,101810.0
297,0,0,1,1,0,51.0,0,1,0,0,0,1,0,0,1.0,107230.0
298,0,0,0,0,0,29.0,1,1,1,0,0,0,1,1,0.0,49521.0
299,0,0,0,1,0,47.0,1,1,1,0,0,0,1,0,8.0,57285.0
300,0,0,0,0,0,8.0,0,1,1,0,0,0,1,1,0.0,50831.0
301,1,0,1,1,1,79.0,1,0,0,0,0,1,0,0,0.0,108159.0
302,0,0,1,1,1,50.0,0,1,1,0,0,0,0,0,0.0,76910.0
303,1,0,1,1,0,29.0,1,0,1,0,0,0,0,0,0.0,83334.0
304,1,0,1,1,0,29.0,1,0,1,0,0,0,0,0,0.0,85693.0
305,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,65774.0
306,1,0,0,0,1,60.0,0,0,0,0,0,1,1,1,0.0,83417.0
307,1,0,1,1,1,79.0,0,0,0,0,0,1,0,0,0.0,111059.0
308,0,0,1,1,0,32.4,1,1,1,0,0,0,0,0,3.0,90408.0
309,1,0,1,1,0,6.0,1,0,1,0,0,0,0,0,0.0,85693.0
